Altium Designer Pick and Place Locations
D:\svn\applications\hardware\pca10112\trunk\production_files\400484_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       18.05.21
Time:       10:38
Revision:   20463
Variant:    Default Variant
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SW5","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","77.2922","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW1","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","105.6532","13.8298","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW2","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","115.9148","13.8298","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW3","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","105.6532","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW4","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","115.9148","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW6","MK-22D14-G2","TopLayer","MK-22D14-G2","104.3686","57.9882","180","Slide Switch DPDT"
"TP18","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","125.9840","18.4150","90","1.0mm circular SMD testpad"
"TP31","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","21.5900","30.9880","90","1.0mm circular SMD testpad"
"U5","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","73.9394","19.7104","90","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U6","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","59.7916","18.5674","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U7","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","81.9404","19.7104","90","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U18","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","30.1188","17.1862","180","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U19","TS27L2IPT","TopLayer","TSOP65P640X120-8N","24.9428","25.7810","0","Precision very low power CMOS dual operational amplifier"
"SB34","Solderbridge","TopLayer","Solderbridge","16.7157","13.7160","180","Solderbridge"
"SB30","Solderbridge","TopLayer","Solderbridge","55.2972","30.3530","270","Solderbridge"
"SB32","Solderbridge","TopLayer","Solderbridge","67.5640","27.9400","180","Solderbridge"
"SB36","Solderbridge","TopLayer","Solderbridge","16.7157","12.4460","180","Solderbridge"
"C90","100nF","TopLayer","CAPC0603X03L_C","24.1808","12.4206","180","Capacitor, X5R, ±10%"
"SB45","Solderbridge","TopLayer","Solderbridge","86.3600","20.3200","90","Solderbridge"
"SB43","Solderbridge","TopLayer","Solderbridge","81.2800","16.7640","0","Solderbridge"
"SB44","Solderbridge","TopLayer","Solderbridge","89.4080","20.3200","90","Solderbridge"
"SB46","Solderbridge","TopLayer","Solderbridge","81.2800","15.2400","180","Solderbridge"
"SB47","Solderbridge","TopLayer","Solderbridge","8.6106","62.4078","180","Solderbridge"
"SW10","CAS-220TA","TopLayer","CAS-220TA","20.6248","4.0640","180","Slide Switch DPDT J Hook"
"U20","74LVC1G08","TopLayer","SOT65P210X100-5N","26.4160","14.6050","180","Single 2-Input AND Gate"
"C93","100nF","TopLayer","CAPC0603X03L_C","25.7556","12.8778","180","Capacitor, X5R, ±10%"
"R92","10M","TopLayer","RESC0603X03L_C","25.3492","4.6228","0","Resistor, ±1%, 0.05W"
"D84","MBRM110E","TopLayer","DO-216AA","19.5072","26.0934","270","Diode Schottky Vf=0.455V @ 100mA, Vr=10V, If=1000mA, Ir=1µA @ 10V"
"Q83","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","35.8394","15.0368","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"R94","10M","TopLayer","RESC0603X03L_C","34.3154","14.7574","180","Resistor, ±1%, 0.05W"
"R93","1k","TopLayer","RESC0603X03L_C","36.8300","14.7574","90","Resistor, ±1%, 0.05W"
"C84","470nF","TopLayer","CAPC0603X03L_C","15.4178","28.1940","180","Chip Cap 0201"
"C83","10µF","TopLayer","CAPC1608X06L","8.8900","25.3746","270","Capacitor, X5R, ±20%, 25V"
"C81","15pF","TopLayer","CAPC0603X03L_C","6.4008","24.8666","270","Chip Cap 0201"
"U12","XC9131","TopLayer","10-USPB_(2.9x2.6)","12.3444","26.2636","180","1A Driver Transistor Built-In, Multi Functional Step-Up DC/DC Converter"
"R81","30k","TopLayer","RESC0603X03L_C","7.8486","25.6794","270","Resistor, ±1%, 0.05W"
"R80","270k","TopLayer","RESC0603X03L_C","7.1120","24.8412","270","Resistor, ±1%, 0.05W"
"L80","2.2µH","TopLayer","TY-NR3015","16.1036","25.9334","270","Ferrite Inductor, Shielded, 1,5A, 72mOhm"
"C82","10µF","TopLayer","CAPC1608X06L","10.0838","25.3746","270","Capacitor, X5R, ±20%, 25V"
"C80","10µF","TopLayer","CAPC1608X06L","12.5984","23.5712","0","Capacitor, X5R, ±20%, 25V"
"R3","10k","TopLayer","RESC0603X03L_C","105.4354","53.0646","180","Resistor, ±1%, 0.05W"
"R4","10k","TopLayer","RESC0603X03L_C","78.7908","43.6880","90","Resistor, ±1%, 0.05W"
"TP22","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","107.7720","48.3110","0","1.0mm circular SMD testpad"
"TP23","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","77.2160","43.1800","0","1.0mm circular SMD testpad"
"TP20","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","103.3780","19.3040","0","1.0mm circular SMD testpad"
"TP21","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","103.3780","21.2090","0","1.0mm circular SMD testpad"
"TP32","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","21.5900","29.2100","0","1.0mm circular SMD testpad"
"TP24","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","10.7950","45.8470","0","1.0mm circular SMD testpad"
"TP34","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","28.7020","17.7800","0","1.0mm circular SMD testpad"
"TP25","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","10.7950","48.3870","0","1.0mm circular SMD testpad"
"TP38","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","86.3600","15.2400","0","1.0mm circular SMD testpad"
"TP27","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","12.7000","16.2560","0","1.0mm circular SMD testpad"
"TP37","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","71.7550","15.2400","0","1.0mm circular SMD testpad"
"TP36","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","69.2150","38.1000","0","1.0mm circular SMD testpad"
"TP28","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","14.7574","22.6822","0","1.0mm circular SMD testpad"
"TP29","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","22.3520","16.3830","0","1.0mm circular SMD testpad"
"TP15","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","91.3892","16.1290","0","1.0mm circular SMD testpad"
"TP16","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","97.1042","16.1290","0","1.0mm circular SMD testpad"
"SB59","Solderbridge","TopLayer","Solderbridge","74.9300","41.2750","180","Solderbridge"
"TP42","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","95.8850","25.7810","0","1.0mm circular SMD testpad"
"TP43","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","95.8850","27.6860","0","1.0mm circular SMD testpad"
"TP44","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","97.7900","25.7810","0","1.0mm circular SMD testpad"
"TP45","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","97.7900","27.6860","0","1.0mm circular SMD testpad"
"TP46","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","99.6950","25.7810","0","1.0mm circular SMD testpad"
"TP47","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","99.6950","27.6860","0","1.0mm circular SMD testpad"
"C11","100pF","TopLayer","CAPC1005X04L","120.6636","41.5424","0","Capacitor, NP0, ±5%"
